"name","container","path","length","end"
"micro","browser","90-deg-turns","61","1"
"ocean","tox","scenes/ocean.tox","233","0"
"gusts","browser","angles_moving/?swing=1&drift=0&fade=0&period=10","171","0"
"swing","browser","angles_moving/?swing=1&drift=1&fade=0&period=2&reload=88","293","0"
"clock","browser","clock/?tick=0&live=1","188","0"
"noise","tox","scenes/noise.tox","586","0"
"wind","browser","clock/?tick=1&live=0&period=5","448","0"
"mozart","browser","angles_icebergs","342","0"
"circle","browser","clock/?tick=0&live=1","78","1"
"triptych","browser","triptych","119","1"
"flood","browser","flood","140","1"
